date,closing_price,prev_price_diff,opening_price,high_price,low_price,volume,company_name
2023.01.30,"63,300","1,300","64,900","64,900","63,100","20,995,234",삼성전자
2023.01.27,"64,600",700,"64,400","65,000","63,900","18,760,182",삼성전자
2023.01.26,"63,900",500,"63,800","63,900","63,300","13,278,277",삼성전자
2023.01.25,"63,400","1,600","63,500","63,700","63,000","16,822,710",삼성전자
2023.01.20,"61,800",300,"62,100","62,300","61,100","9,646,327",삼성전자
2023.01.19,"61,500","1,100","60,500","61,500","60,400","12,808,490",삼성전자
2023.01.18,"60,400",600,"60,700","61,000","59,900","11,584,041",삼성전자
2023.01.17,"61,000",100,"61,200","61,500","60,600","9,831,456",삼성전자
2023.01.16,"61,100",300,"61,300","61,600","60,800","10,039,972",삼성전자
2023.01.13,"60,800",300,"60,500","61,200","60,400","12,510,328",삼성전자
2023.01.12,"60,500",0,"61,100","61,200","59,900","16,102,561",삼성전자
2023.01.11,"60,500",100,"61,000","61,200","60,300","12,310,751",삼성전자
2023.01.10,"60,400",300,"60,200","61,100","59,900","14,859,797",삼성전자
2023.01.09,"60,700","1,700","59,700","60,700","59,600","18,640,107",삼성전자
2023.01.06,"59,000",800,"58,300","59,400","57,900","17,334,989",삼성전자
2023.01.05,"58,200",400,"58,200","58,800","57,600","15,682,826",삼성전자
2023.01.04,"57,800","2,400","55,700","58,000","55,600","20,188,071",삼성전자
2023.01.03,"55,400",100,"55,400","56,000","54,500","13,547,030",삼성전자
2023.01.02,"55,500",200,"55,500","56,100","55,200","10,031,448",삼성전자
2022.12.29,"55,300","1,300","56,000","56,200","55,300","11,295,935",삼성전자
2022.12.28,"56,600","1,500","57,600","57,600","56,400","14,665,410",삼성전자
2022.12.27,"58,100",200,"58,000","58,400","57,900","10,667,027",삼성전자
2022.12.26,"57,900",200,"58,000","58,100","57,700","6,756,411",삼성전자
2022.12.23,"58,100","1,000","58,200","58,400","57,700","9,829,407",삼성전자
2022.12.22,"59,100","1,100","58,100","59,100","58,100","10,720,630",삼성전자
2022.12.21,"58,000",600,"58,700","59,100","58,000","10,356,971",삼성전자
2022.12.20,"58,600",900,"59,000","59,100","58,500","9,284,761",삼성전자
2022.12.19,"59,500",0,"59,500","59,900","59,100","7,696,187",삼성전자
2022.12.16,"59,500",200,"58,300","59,500","58,300","13,033,596",삼성전자
2022.12.15,"59,300","1,200","59,800","60,200","59,300","8,716,039",삼성전자
2022.12.14,"60,500",800,"59,800","60,600","59,800","8,207,485",삼성전자
2022.12.13,"59,700",200,"59,600","60,300","59,400","9,040,873",삼성전자
2022.12.12,"59,500",900,"59,900","60,000","59,400","9,036,472",삼성전자
2022.12.09,"60,400","1,200","59,300","60,600","59,300","10,529,632",삼성전자
2022.12.08,"59,200",300,"58,700","59,200","58,600","12,986,815",삼성전자
2022.12.07,"58,900",300,"58,800","59,600","58,500","12,100,662",삼성전자
2022.12.06,"59,200","1,100","59,800","60,100","59,200","13,888,300",삼성전자
2022.12.05,"60,300",100,"60,900","61,100","60,000","13,767,787",삼성전자
2022.12.02,"60,400","2,200","62,500","62,500","60,400","15,331,184",삼성전자
2022.12.01,"62,600",400,"63,100","63,200","62,300","16,631,445",삼성전자
2022.11.30,"62,200","1,600","60,400","62,200","60,200","19,768,903",삼성전자
2022.11.29,"60,600",500,"59,900","60,600","59,800","7,014,160",삼성전자
2022.11.28,"60,100",900,"60,500","60,500","59,800","8,589,032",삼성전자
2022.11.25,"61,000",400,"61,400","61,700","60,800","6,677,933",삼성전자
2022.11.24,"61,400",400,"61,200","61,700","60,900","8,125,010",삼성전자
2022.11.23,"61,000",400,"61,200","61,300","60,700","8,765,050",삼성전자
2022.11.22,"60,600",800,"60,900","61,200","60,300","9,411,289",삼성전자
2022.11.21,"61,400",400,"61,400","61,800","60,800","9,378,097",삼성전자
2022.11.18,"61,800",400,"61,800","62,400","61,400","12,236,503",삼성전자
2022.11.17,"61,400","1,300","62,000","62,000","61,300","13,298,296",삼성전자
2022.11.16,"62,700",300,"62,400","62,700","61,700","12,909,260",삼성전자
2022.11.15,"62,400",500,"62,200","62,500","61,600","12,310,986",삼성전자
2022.11.14,"61,900","1,000","62,900","62,900","61,700","15,973,416",삼성전자
2022.11.11,"62,900","2,500","63,100","63,200","62,300","20,037,163",삼성전자
2022.11.10,"60,400","1,600","61,400","61,500","60,400","21,087,633",삼성전자
2022.11.09,"62,000",200,"62,000","62,200","61,300","14,045,592",삼성전자
2022.11.08,"61,800","1,600","60,500","61,900","60,500","18,273,898",삼성전자
2022.11.07,"60,200",800,"59,700","60,300","59,400","12,437,246",삼성전자
2022.11.04,"59,400",200,"59,100","59,500","58,400","12,445,841",삼성전자
2022.11.03,"59,200",400,"58,600","59,800","58,100","17,492,162",삼성전자
2022.11.02,"59,600",400,"59,700","60,000","59,300","13,202,919",삼성전자
2022.11.01,"60,000",600,"59,900","60,300","59,500","17,201,647",삼성전자
2022.10.31,"59,400","2,100","58,100","59,900","58,000","18,999,514",삼성전자
2022.10.28,"57,300","2,200","58,900","59,200","57,200","20,924,937",삼성전자
2022.10.27,"59,500",100,"59,700","60,100","58,900","21,756,712",삼성전자
2022.10.26,"59,400","1,700","58,000","59,600","57,700","20,824,967",삼성전자
2022.10.25,"57,700",200,"57,000","58,600","57,000","17,405,678",삼성전자
2022.10.24,"57,500","1,600","57,000","57,500","56,700","16,944,503",삼성전자
2022.10.21,"55,900",400,"55,100","56,300","55,100","11,456,060",삼성전자
2022.10.20,"55,500",300,"55,200","56,000","55,100","17,107,653",삼성전자
2022.10.19,"55,800",700,"56,700","56,900","55,700","12,660,652",삼성전자
2022.10.18,"56,500",100,"56,700","57,100","55,800","14,820,702",삼성전자
2022.10.17,"56,600",300,"55,800","57,000","55,700","13,641,878",삼성전자
2022.10.14,"56,300","1,100","56,200","56,500","55,800","12,924,326",삼성전자
2022.10.13,"55,200",600,"55,400","56,100","55,200","13,784,602",삼성전자
2022.10.12,"55,800",400,"55,700","57,000","55,200","18,408,910",삼성전자
2022.10.11,"55,400",800,"54,400","55,700","54,000","21,437,877",삼성전자
2022.10.07,"56,200",100,"55,900","56,900","55,200","16,886,813",삼성전자
2022.10.06,"56,300",300,"56,700","57,300","56,300","14,944,446",삼성전자
2022.10.05,"56,000",800,"56,900","57,200","55,400","22,458,970",삼성전자
2022.10.04,"55,200","2,100","55,300","55,400","54,500","19,148,435",삼성전자
2022.09.30,"53,100",500,"52,300","53,600","51,800","22,503,249",삼성전자
2022.09.29,"52,600",300,"53,300","53,700","52,600","13,882,080",삼성전자
2022.09.28,"52,900","1,300","53,900","54,400","52,500","19,991,129",삼성전자
2022.09.27,"54,200",300,"53,800","54,200","53,500","16,631,289",삼성전자
2022.09.26,"53,900",600,"53,700","54,200","53,600","15,008,449",삼성전자
2022.09.23,"54,500",100,"54,400","54,900","54,200","10,555,964",삼성전자
2022.09.22,"54,400",900,"54,600","54,700","54,300","12,786,510",삼성전자
2022.09.21,"55,300",500,"55,400","55,500","55,000","11,863,700",삼성전자
2022.09.20,"55,800",600,"56,400","57,000","55,800","14,041,465",삼성전자
2022.09.19,"56,400",200,"56,300","57,000","56,000","12,278,653",삼성전자
2022.09.16,"56,200",200,"55,600","56,400","55,500","13,456,503",삼성전자
2022.09.15,"56,000",800,"57,000","57,100","56,000","11,664,819",삼성전자
2022.09.14,"56,800","1,300","56,200","57,200","56,100","12,524,961",삼성전자
2022.09.13,"58,100","2,500","57,000","58,500","56,800","17,166,581",삼성전자
2022.09.08,"55,600",400,"56,200","56,400","55,600","18,000,016",삼성전자
2022.09.07,"56,000","1,100","56,700","56,700","55,900","17,384,854",삼성전자
2022.09.06,"57,100",0,"57,200","57,600","56,900","7,503,086",삼성전자
2022.09.05,"57,100",400,"57,400","57,800","56,800","11,425,977",삼성전자
2022.09.02,"57,500",900,"58,300","58,600","57,500","15,040,310",삼성전자
2022.09.01,"58,400","1,300","58,700","58,900","58,300","14,905,777",삼성전자
2022.08.31,"59,700",900,"58,200","59,900","58,200","14,203,512",삼성전자
2022.08.30,"58,800",200,"58,700","59,000","58,300","9,690,044",삼성전자
2022.08.29,"58,600","1,400","58,700","58,900","58,600","9,841,329",삼성전자
2022.08.26,"60,000",300,"60,300","60,900","59,900","9,499,995",삼성전자
2022.08.25,"59,700",700,"59,200","59,700","59,000","5,767,902",삼성전자
2022.08.24,"59,000",100,"59,200","59,500","59,000","8,888,486",삼성전자
2022.08.23,"59,100",900,"59,000","59,600","59,000","9,041,629",삼성전자
2022.08.22,"60,000",900,"60,300","60,400","59,800","8,259,865",삼성전자
2022.08.19,"60,900",600,"61,400","61,600","60,600","6,923,679",삼성전자
2022.08.18,"61,500","1,100","60,300","61,900","60,000","16,372,754",삼성전자
2022.08.17,"60,400",600,"61,100","61,200","60,300","9,061,518",삼성전자
2022.08.16,"61,000",800,"60,500","61,600","60,300","15,036,727",삼성전자
2022.08.12,"60,200",300,"59,500","60,700","59,400","10,786,658",삼성전자
2022.08.11,"59,900",800,"59,600","60,000","59,300","15,141,941",삼성전자
2022.08.10,"59,100",900,"58,900","59,200","58,600","18,084,349",삼성전자
2022.08.09,"60,000",800,"60,600","60,700","59,600","18,251,170",삼성전자
2022.08.08,"60,800",700,"61,400","61,400","60,600","11,313,150",삼성전자
2022.08.05,"61,500",0,"61,700","61,900","61,200","9,567,620",삼성전자
2022.08.04,"61,500",200,"61,700","61,800","61,200","9,125,439",삼성전자
2022.08.03,"61,300",400,"61,600","61,600","61,000","10,053,861",삼성전자
2022.08.02,"61,700",400,"61,200","61,900","61,000","13,614,895",삼성전자
2022.08.01,"61,300",100,"61,000","61,700","60,300","13,154,816",삼성전자
2022.07.29,"61,400",500,"62,400","62,600","61,300","15,093,120",삼성전자
2022.07.28,"61,900",100,"62,300","62,600","61,600","10,745,302",삼성전자
2022.07.27,"61,800",100,"61,300","61,900","61,200","7,320,997",삼성전자
2022.07.26,"61,700",600,"60,800","61,900","60,800","6,597,211",삼성전자
2022.07.25,"61,100",200,"60,900","61,900","60,800","9,193,681",삼성전자
2022.07.22,"61,300",500,"61,800","62,200","61,200","10,261,310",삼성전자
2022.07.21,"61,800","1,300","61,100","61,900","60,700","12,291,374",삼성전자
2022.07.20,"60,500",400,"61,800","62,100","60,500","16,782,238",삼성전자
2022.07.19,"60,900","1,000","61,400","61,500","60,200","15,248,261",삼성전자
2022.07.18,"61,900","1,900","60,600","62,000","60,500","20,832,517",삼성전자
2022.07.15,"60,000","2,500","58,400","60,000","58,100","18,685,583",삼성전자
2022.07.14,"57,500",500,"57,500","58,200","57,400","15,067,012",삼성전자
2022.07.13,"58,000",100,"58,300","58,600","58,000","10,841,315",삼성전자
2022.07.12,"58,100",700,"58,600","58,700","58,100","9,336,061",삼성전자
2022.07.11,"58,800",100,"59,300","59,600","58,700","13,042,624",삼성전자
2022.07.08,"58,700",500,"58,600","59,300","58,200","15,339,271",삼성전자
2022.07.07,"58,200","1,800","56,400","58,700","56,300","21,322,833",삼성전자
2022.07.06,"56,400",800,"57,300","57,300","56,400","16,820,461",삼성전자
2022.07.05,"57,200",100,"57,600","58,200","57,200","14,216,539",삼성전자
2022.07.04,"57,100",900,"56,100","57,400","55,700","17,807,126",삼성전자
2022.07.01,"56,200",800,"56,900","57,500","55,900","24,982,097",삼성전자
2022.06.30,"57,000","1,000","57,200","57,600","57,000","18,915,142",삼성전자
2022.06.29,"58,000","1,400","58,500","58,800","58,000","14,677,138",삼성전자
2022.06.28,"59,400",600,"59,200","59,500","58,700","13,540,538",삼성전자
2022.06.27,"58,800",400,"59,000","59,900","58,300","18,122,236",삼성전자
2022.06.24,"58,400","1,000","57,900","59,100","57,700","23,256,103",삼성전자
2022.06.23,"57,400",200,"57,700","58,000","56,800","28,338,608",삼성전자
2022.06.22,"57,600",900,"59,000","59,100","57,600","23,334,687",삼성전자
2022.06.21,"58,500",200,"58,700","59,200","58,200","25,148,109",삼성전자
2022.06.20,"58,700","1,100","59,800","59,900","58,100","34,111,306",삼성전자
2022.06.17,"59,800","1,100","59,400","59,900","59,400","29,053,450",삼성전자
2022.06.16,"60,900",200,"61,300","61,800","60,500","23,394,895",삼성전자
2022.06.15,"60,700","1,200","61,300","61,500","60,200","26,811,224",삼성전자
2022.06.14,"61,900",200,"61,200","62,200","61,100","24,606,419",삼성전자
2022.06.13,"62,100","1,700","62,400","62,800","62,100","22,157,816",삼성전자
2022.06.10,"63,800","1,400","64,000","64,400","63,800","22,193,552",삼성전자
2022.06.09,"65,200",100,"65,100","65,200","64,500","25,790,725",삼성전자
2022.06.08,"65,300",200,"65,400","65,700","65,300","12,483,180",삼성전자
2022.06.07,"65,500","1,300","66,200","66,400","65,400","19,355,755",삼성전자
2022.06.03,"66,800",100,"67,200","67,300","66,800","8,222,883",삼성전자
2022.06.02,"66,700",700,"66,600","67,000","66,400","14,959,443",삼성전자
2022.05.31,"67,400",300,"67,500","67,500","66,700","24,365,002",삼성전자
2022.05.30,"67,700","1,200","67,500","67,800","66,900","14,255,484",삼성전자
2022.05.27,"66,500",600,"66,700","66,900","66,200","11,405,555",삼성전자
2022.05.26,"65,900",500,"66,300","67,200","65,500","15,970,890",삼성전자
2022.05.25,"66,400",100,"66,700","67,100","65,900","15,150,490",삼성전자
2022.05.24,"66,500","1,400","67,500","67,700","66,500","15,482,576",삼성전자
2022.05.23,"67,900",100,"68,800","68,800","67,600","13,684,088",삼성전자
2022.05.20,"68,000",500,"67,800","68,400","67,700","12,109,671",삼성전자
2022.05.19,"67,500",600,"66,500","67,600","66,500","17,073,727",삼성전자
2022.05.18,"68,100",500,"68,300","68,700","67,600","16,486,319",삼성전자
2022.05.17,"67,600","1,300","66,600","67,900","66,600","15,680,447",삼성전자
2022.05.16,"66,300",200,"67,100","67,400","66,100","11,937,555",삼성전자
2022.05.13,"66,500","1,600","65,300","66,700","65,200","14,551,536",삼성전자
2022.05.12,"64,900",800,"65,200","65,500","64,900","16,414,188",삼성전자
2022.05.11,"65,700",0,"65,500","66,300","65,200","12,330,920",삼성전자
2022.05.10,"65,700",400,"65,900","66,300","65,300","17,235,605",삼성전자
2022.05.09,"66,100",400,"66,300","66,900","66,100","11,858,736",삼성전자
2022.05.06,"66,500","1,400","67,000","67,100","66,500","14,356,156",삼성전자
2022.05.04,"67,900",400,"68,000","68,400","67,500","11,505,248",삼성전자
2022.05.03,"67,500",200,"67,400","68,400","67,300","14,168,875",삼성전자
2022.05.02,"67,300",100,"66,600","67,600","66,500","14,106,184",삼성전자
2022.04.29,"67,400","2,600","65,100","67,600","65,000","26,190,390",삼성전자
2022.04.28,"64,800",200,"65,400","65,500","64,500","16,895,527",삼성전자
2022.04.27,"65,000","1,100","65,400","65,500","64,900","18,122,084",삼성전자
2022.04.26,"66,100",200,"66,400","66,700","66,100","12,946,923",삼성전자
2022.04.25,"66,300",700,"66,500","66,700","66,300","11,016,474",삼성전자
2022.04.22,"67,000",700,"67,200","67,300","66,700","11,791,478",삼성전자
2022.04.21,"67,700",300,"67,600","68,300","67,500","12,847,448",삼성전자
2022.04.20,"67,400",100,"67,000","67,400","66,500","16,693,293",삼성전자
2022.04.19,"67,300",600,"67,100","68,000","67,000","12,959,434",삼성전자
2022.04.18,"66,700",100,"66,500","67,100","66,100","10,119,203",삼성전자
2022.04.15,"66,600",900,"67,200","67,300","66,500","13,176,415",삼성전자
2022.04.14,"67,500","1,200","68,700","68,700","67,500","16,409,494",삼성전자
2022.04.13,"68,700","1,700","67,300","69,000","67,200","17,378,619",삼성전자
2022.04.12,"67,000",900,"67,600","67,700","67,000","13,924,389",삼성전자
2022.04.11,"67,900",100,"67,800","68,100","67,400","12,263,735",삼성전자
2022.04.08,"67,800",200,"68,100","68,300","67,700","15,453,191",삼성전자
2022.04.07,"68,000",500,"68,500","68,500","68,000","20,683,327",삼성전자
2022.04.06,"68,500",700,"68,600","68,800","68,500","15,517,308",삼성전자
2022.04.05,"69,200",100,"69,400","69,600","69,100","8,467,248",삼성전자
2022.04.04,"69,300",200,"68,900","69,300","68,600","11,107,905",삼성전자
2022.04.01,"69,100",500,"69,500","69,500","69,000","15,916,846",삼성전자
2022.03.31,"69,600",300,"69,900","70,200","69,600","12,510,366",삼성전자
2022.03.30,"69,900",300,"70,300","70,500","69,800","12,670,187",삼성전자
2022.03.29,"70,200",500,"70,000","70,300","69,800","13,686,208",삼성전자
2022.03.28,"69,700",100,"69,500","69,900","69,200","12,619,289",삼성전자
2022.03.25,"69,800",0,"70,100","70,200","69,600","12,986,010",삼성전자
2022.03.24,"69,800",700,"69,600","70,300","69,600","37,943,357",삼성전자
2022.03.23,"70,500",200,"70,600","71,200","70,300","12,398,025",삼성전자
2022.03.22,"70,300",400,"69,900","70,500","69,900","9,402,666",삼성전자
2022.03.21,"69,900",800,"70,900","71,000","69,900","11,169,002",삼성전자
2022.03.18,"70,700",500,"70,600","70,900","70,200","14,410,038",삼성전자
2022.03.17,"71,200",800,"71,200","71,800","70,900","17,646,315",삼성전자
2022.03.16,"70,400",900,"70,200","70,500","69,700","10,175,750",삼성전자
2022.03.15,"69,500",700,"69,800","70,100","69,500","10,258,562",삼성전자
2022.03.14,"70,200",200,"70,000","70,200","69,600","9,040,993",삼성전자
2022.03.11,"70,000","1,200","70,500","70,700","69,700","15,787,655",삼성전자
2022.03.10,"71,200","1,700","70,800","71,200","70,500","21,159,248",삼성전자
2022.03.08,"69,500",600,"68,800","70,000","68,700","15,828,269",삼성전자
2022.03.07,"70,100","1,400","70,000","70,600","69,900","18,617,138",삼성전자
2022.03.04,"71,500","1,400","72,700","72,700","71,200","13,409,634",삼성전자
2022.03.03,"72,900","1,200","72,300","73,100","72,200","13,232,638",삼성전자
2022.03.02,"71,700",400,"72,300","72,400","71,500","12,481,430",삼성전자
2022.02.28,"72,100",200,"71,100","72,100","71,000","17,781,783",삼성전자
2022.02.25,"71,900",400,"72,100","72,600","71,900","13,168,484",삼성전자
2022.02.24,"71,500","1,500","72,300","72,300","71,300","15,759,283",삼성전자
2022.02.23,"73,000",400,"73,800","73,800","72,800","10,397,964",삼성전자
2022.02.22,"73,400",800,"73,000","73,400","72,800","11,692,469",삼성전자
2022.02.21,"74,200",100,"73,200","74,300","72,600","10,489,717",삼성전자
2022.02.18,"74,300",700,"74,600","74,800","73,700","10,122,226",삼성전자
2022.02.17,"75,000",200,"75,000","75,600","74,500","13,605,382",삼성전자
2022.02.16,"74,800","1,100","74,600","74,900","74,200","10,767,386",삼성전자
2022.02.15,"73,700",0,"74,100","74,200","73,100","9,320,365",삼성전자
2022.02.14,"73,700","1,200","74,400","74,500","73,100","13,993,255",삼성전자
2022.02.11,"74,900",500,"75,000","75,500","74,600","12,205,407",삼성전자
2022.02.10,"75,400",700,"75,600","75,800","74,700","17,746,033",삼성전자
2022.02.09,"74,700","1,200","74,300","74,700","74,000","9,699,122",삼성전자
2022.02.08,"73,500",500,"73,800","74,200","73,000","11,736,666",삼성전자
2022.02.07,"73,000","1,000","73,500","73,600","72,400","14,240,838",삼성전자
2022.02.04,"74,000",700,"74,300","74,600","73,400","12,730,034",삼성전자
2022.02.03,"73,300",0,"74,900","74,900","73,300","17,744,721",삼성전자
2022.01.28,"73,300","2,000","71,300","73,700","71,200","21,367,447",삼성전자
2022.01.27,"71,300","2,000","73,800","74,000","71,300","22,274,777",삼성전자
2022.01.26,"73,300",700,"73,900","74,400","73,100","12,976,730",삼성전자
2022.01.25,"74,000","1,100","74,800","75,000","73,200","17,766,704",삼성전자
2022.01.24,"75,100",500,"75,400","75,800","74,700","13,691,134",삼성전자
2022.01.21,"75,600",900,"75,800","75,800","74,700","15,774,888",삼성전자
2022.01.20,"76,500",200,"76,200","76,700","75,900","9,708,168",삼성전자
2022.01.19,"76,300",700,"76,500","76,900","76,100","10,598,290",삼성전자
2022.01.18,"77,000",500,"77,600","77,800","76,600","9,592,788",삼성전자
2022.01.17,"77,500",200,"77,600","77,800","76,900","8,785,122",삼성전자
2022.01.14,"77,300",600,"77,700","78,100","77,100","10,096,725",삼성전자
2022.01.13,"77,900","1,000","79,300","79,300","77,900","13,889,401",삼성전자
2022.01.12,"78,900",0,"79,500","79,600","78,600","11,000,502",삼성전자
2022.01.11,"78,900",900,"78,400","79,000","78,000","13,221,123",삼성전자
2022.01.10,"78,000",300,"78,100","78,100","77,100","9,947,422",삼성전자
2022.01.07,"78,300","1,400","78,100","78,400","77,400","15,163,757",삼성전자
2022.01.06,"76,900",500,"76,700","77,600","76,600","12,931,954",삼성전자
2022.01.05,"77,400","1,300","78,800","79,000","76,400","25,470,640",삼성전자
2022.01.04,"78,700",100,"78,800","79,200","78,300","12,427,416",삼성전자
2022.01.03,"78,600",300,"79,400","79,800","78,200","13,502,112",삼성전자
2021.12.30,"78,300",500,"78,900","79,500","78,100","14,236,700",삼성전자
2021.12.29,"78,800","1,500","80,200","80,200","78,500","19,794,795",삼성전자
2021.12.28,"80,300",100,"80,200","80,400","79,700","18,226,325",삼성전자
2021.12.27,"80,200",300,"80,600","80,600","79,800","10,783,368",삼성전자
2021.12.24,"80,500",600,"80,200","80,800","80,200","12,086,380",삼성전자
2021.12.23,"79,900",500,"79,800","80,000","79,300","13,577,498",삼성전자
2021.12.22,"79,400","1,300","78,900","79,400","78,800","17,105,892",삼성전자
2021.12.21,"78,100","1,000","77,900","78,300","77,500","14,245,298",삼성전자
2021.12.20,"77,100",900,"77,600","77,800","76,800","11,264,375",삼성전자
2021.12.17,"78,000",200,"76,800","78,000","76,800","13,108,479",삼성전자
2021.12.16,"77,800",200,"78,500","78,500","77,400","11,996,128",삼성전자
2021.12.15,"77,600",600,"76,400","77,600","76,300","9,584,939",삼성전자
2021.12.14,"77,000",200,"76,500","77,200","76,200","10,976,660",삼성전자
2021.12.13,"76,800",100,"77,200","78,300","76,500","15,038,750",삼성전자
2021.12.10,"76,900","1,300","77,400","77,600","76,800","9,155,219",삼성전자
2021.12.09,"78,200",800,"77,400","78,200","77,000","21,604,528",삼성전자
2021.12.08,"77,400",0,"78,300","78,600","77,100","21,558,340",삼성전자
2021.12.07,"77,400","1,100","76,100","77,700","75,600","19,232,453",삼성전자
2021.12.06,"76,300",700,"75,100","76,700","74,900","16,391,250",삼성전자
2021.12.03,"75,600",200,"75,600","76,000","74,100","18,330,240",삼성전자
2021.12.02,"75,800","1,400","73,900","75,800","73,800","23,652,940",삼성전자
2021.12.01,"74,400","3,100","72,000","74,800","71,600","21,954,856",삼성전자
2021.11.30,"71,300","1,000","73,200","73,900","70,500","30,364,841",삼성전자
2021.11.29,"72,300",0,"71,700","73,000","71,400","16,682,559",삼성전자
2021.11.26,"72,300","1,400","73,500","74,100","72,000","13,002,242",삼성전자
2021.11.25,"73,700","1,100","75,100","75,100","73,600","12,559,258",삼성전자
2021.11.24,"74,800",500,"76,000","76,200","74,100","15,652,305",삼성전자
2021.11.23,"75,300",400,"76,000","76,000","74,500","22,029,195",삼성전자
2021.11.22,"74,900","3,700","73,300","75,200","73,000","27,506,623",삼성전자
2021.11.19,"71,200","1,000","70,400","71,400","70,100","11,954,728",삼성전자
2021.11.18,"70,200",500,"70,700","71,000","70,200","10,144,957",삼성전자
2021.11.17,"70,700",600,"71,300","71,600","70,600","11,027,606",삼성전자
2021.11.16,"71,300",100,"71,500","72,000","71,300","10,919,239",삼성전자
2021.11.15,"71,400",800,"71,700","71,900","70,900","12,420,710",삼성전자
2021.11.12,"70,600",700,"70,200","70,900","69,900","10,087,450",삼성전자
2021.11.11,"69,900",300,"69,900","70,000","69,600","11,489,122",삼성전자
2021.11.10,"70,200",300,"70,300","70,900","70,200","9,422,009",삼성전자
2021.11.09,"70,500",100,"70,300","71,000","70,100","11,159,589",삼성전자
2021.11.08,"70,600",400,"70,400","70,600","69,800","11,121,981",삼성전자
2021.11.05,"70,200",400,"71,600","71,600","70,200","12,667,743",삼성전자
2021.11.04,"70,600",200,"71,200","71,600","70,500","11,818,987",삼성전자
2021.11.03,"70,400","1,100","71,700","71,700","70,100","12,770,428",삼성전자
2021.11.02,"71,500","1,600","70,800","72,200","70,700","16,812,570",삼성전자
2021.11.01,"69,900",100,"70,200","70,600","69,900","11,503,729",삼성전자
2021.10.29,"69,800",900,"71,200","71,600","69,700","17,016,151",삼성전자
2021.10.28,"70,700",600,"69,500","72,200","69,500","20,644,902",삼성전자
2021.10.27,"70,100","1,000","71,000","71,000","70,000","10,295,316",삼성전자
2021.10.26,"71,100",900,"70,600","71,500","70,400","10,528,252",삼성전자
2021.10.25,"70,200",200,"69,900","70,600","69,500","10,029,621",삼성전자
2021.10.22,"70,400",200,"70,000","70,700","70,000","8,395,448",삼성전자
2021.10.21,"70,200",100,"70,300","70,600","70,000","10,891,094",삼성전자
2021.10.20,"70,300",300,"70,700","71,000","70,200","10,151,638",삼성전자
2021.10.19,"70,600",400,"70,800","71,000","70,400","9,507,991",삼성전자
2021.10.18,"70,200",100,"70,200","70,300","69,200","13,486,391",삼성전자
2021.10.15,"70,100",700,"70,200","71,000","70,000","18,051,612",삼성전자
2021.10.14,"69,400",600,"69,000","69,800","68,800","19,520,641",삼성전자
2021.10.13,"68,800",200,"68,700","69,600","68,300","24,172,015",삼성전자
2021.10.12,"69,000","2,500","70,700","70,900","68,700","31,001,484",삼성전자
2021.10.08,"71,500",100,"72,300","72,400","71,500","14,043,287",삼성전자
2021.10.07,"71,600",300,"71,600","72,100","71,300","13,683,532",삼성전자
2021.10.06,"71,300",900,"72,600","72,800","71,200","18,956,962",삼성전자
2021.10.05,"72,200","1,000","73,000","73,000","71,400","24,013,921",삼성전자
2021.10.01,"73,200",900,"73,900","74,000","72,900","15,803,395",삼성전자
2021.09.30,"74,100",0,"74,300","74,800","73,700","19,919,361",삼성전자
2021.09.29,"74,100","2,200","74,800","75,300","73,800","23,992,458",삼성전자
2021.09.28,"76,300","1,400","77,700","77,800","76,200","15,406,382",삼성전자
2021.09.27,"77,700",400,"77,300","77,700","77,000","11,699,798",삼성전자
2021.09.24,"77,300",100,"77,600","77,700","77,100","12,247,274",삼성전자
2021.09.23,"77,400",200,"77,500","77,600","76,800","17,055,590",삼성전자
2021.09.17,"77,200","1,100","76,300","77,200","75,900","16,289,502",삼성전자
2021.09.16,"76,100",900,"77,300","77,400","76,100","13,067,622",삼성전자
2021.09.15,"77,000",400,"77,400","77,400","76,400","12,829,128",삼성전자
2021.09.14,"76,600",300,"77,100","77,700","76,600","18,167,057",삼성전자
2021.09.13,"76,300","1,000","75,200","76,300","75,100","11,397,775",삼성전자
2021.09.10,"75,300",0,"75,300","75,600","74,800","10,103,212",삼성전자
2021.09.09,"75,300","1,000","76,400","76,600","75,000","17,600,770",삼성전자
2021.09.08,"76,300",200,"76,000","76,400","75,600","11,798,147",삼성전자
2021.09.07,"76,100","1,200","77,100","77,100","75,900","13,239,401",삼성전자
2021.09.06,"77,300",700,"76,800","77,600","76,600","12,861,180",삼성전자
2021.09.03,"76,600",600,"76,400","76,700","76,000","12,096,419",삼성전자
2021.09.02,"76,000",800,"76,800","76,800","75,700","15,347,486",삼성전자
2021.09.01,"76,800",100,"76,700","77,100","75,900","16,114,775",삼성전자
2021.08.31,"76,700","2,100","74,900","76,700","74,300","24,630,370",삼성전자
2021.08.30,"74,600",300,"75,400","75,500","74,200","12,686,999",삼성전자
2021.08.27,"74,300",300,"74,300","75,000","73,800","15,172,748",삼성전자
2021.08.26,"74,600","1,100","76,100","76,200","74,600","16,671,494",삼성전자
2021.08.25,"75,700",100,"76,200","76,600","74,900","22,319,664",삼성전자
2021.08.24,"75,600","2,300","73,900","75,700","73,900","21,016,913",삼성전자
2021.08.23,"73,300",600,"73,300","74,000","73,000","19,384,648",삼성전자
2021.08.20,"72,700",400,"73,500","73,900","72,500","22,364,803",삼성전자
